ORDERNUMBER,PRODUCTCODE,customerID,dateID,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES
10236,S10_2016,66,20040403,22,100.0,1,2852.08
10251,S10_2016,67,20040518,44,100.0,5,5756.52
10263,S10_2016,68,20040628,40,100.0,5,4472.0
10275,S10_2016,69,20040723,22,100.0,4,2904.44
10285,S10_2016,70,20040827,47,100.0,9,6484.59
10298,S10_2016,71,20040927,39,96.34,1,3757.26
10308,S10_2016,72,20041015,34,100.0,2,4043.96
10318,S10_2016,73,20041102,45,100.0,4,5566.5
10329,S10_2016,74,20041115,20,100.0,2,3176.0
10339,S10_2016,75,20041123,40,68.92,4,2756.8
10361,S10_2016,76,20041217,26,51.15,8,1329.9
10374,S10_2016,77,20050202,39,100.0,5,5288.01
10388,S10_2016,78,20050303,50,44.51,5,2225.5
10402,S10_2016,79,20050407,45,100.0,1,5833.8
10417,S10_2016,80,20050513,45,100.0,5,5887.35
10107,S10_4698,81,20030224,27,100.0,4,6065.55
10120,S10_4698,82,20030429,46,100.0,2,9264.86
10134,S10_4698,83,20030701,31,100.0,4,7023.98
10145,S10_4698,84,20030825,33,100.0,8,5176.38
10159,S10_4698,85,20031010,22,100.0,16,4132.7
10168,S10_4698,86,20031028,20,100.0,3,4183.0
10180,S10_4698,87,20031111,41,100.0,11,8892.9
10188,S10_4698,88,20031118,45,100.0,3,8714.7
10201,S10_4698,89,20031201,49,100.0,4,8065.89
10210,S10_4698,90,20040112,34,100.0,1,6123.4
10223,S10_4698,91,20040220,49,100.0,3,9774.03
10237,S10_4698,92,20040405,39,100.0,9,7023.9
10251,S10_4698,93,20040518,43,100.0,4,7078.23
10263,S10_4698,94,20040628,41,100.0,4,8336.94
10275,S10_4698,95,20040723,36,100.0,3,6901.92
10285,S10_4698,96,20040827,27,100.0,8,5438.07
10299,S10_4698,97,20040930,29,100.0,11,6683.34
10308,S10_4698,98,20041015,20,100.0,1,4570.4
10318,S10_4698,99,20041102,37,100.0,3,7667.14
10329,S10_4698,100,20041115,26,100.0,3,5868.2
10339,S10_4698,101,20041123,39,76.67,3,2990.13
10362,S10_4698,102,20050105,22,100.0,4,3664.1
10374,S10_4698,103,20050202,22,100.0,1,3834.38
10388,S10_4698,104,20050303,21,86.77,7,1822.17
10403,S10_4698,105,20050408,66,100.0,9,11886.6
10417,S10_4698,106,20050513,56,100.0,4,9218.16
10105,S10_4757,107,20030211,50,100.0,2,7208.0
10119,S10_4757,108,20030428,46,100.0,11,5004.8
10129,S10_4757,109,20030612,33,100.0,2,4398.24
10143,S10_4757,110,20030810,49,100.0,15,5597.76
10155,S10_4757,111,20031006,32,100.0,13,4526.08
10167,S10_4757,112,20031023,44,100.0,9,5924.16
10178,S10_4757,113,20031108,24,100.0,12,3492.48
10186,S10_4757,114,20031114,26,100.0,9,3854.24
10197,S10_4757,115,20031126,45,100.0,6,5324.4
10209,S10_4757,116,20040109,39,100.0,8,5197.92
10222,S10_4757,117,20040219,49,100.0,12,5997.6
10248,S10_4757,118,20040507,20,100.0,3,2910.4
10261,S10_4757,119,20040617,27,100.0,1,3378.24
10273,S10_4757,120,20040721,30,100.0,4,3508.8
10283,S10_4757,121,20040820,25,100.0,6,2992.0
10295,S10_4757,122,20040910,24,100.0,1,3427.2
10307,S10_4757,123,20041014,22,100.0,9,2692.8
10316,S10_4757,124,20041101,33,100.0,17,4128.96
10325,S10_4757,125,20041105,47,64.93,6,3051.71
10337,S10_4757,126,20041121,25,48.05,8,1201.25
10350,S10_4757,127,20041202,26,75.47,5,1962.22
10359,S10_4757,128,20041215,48,54.68,6,2624.64
10373,S10_4757,129,20050131,39,100.0,3,4046.25
10384,S10_4757,130,20050223,34,100.0,4,4846.7
10395,S10_4757,131,20050317,32,100.0,2,3370.56
10400,S10_4757,132,20050401,64,100.0,9,9661.44
10414,S10_4757,133,20050506,19,100.0,3,2764.88
10103,S10_4962,134,20030129,42,100.0,4,5398.26
10114,S10_4962,135,20030401,31,100.0,8,4305.28
10126,S10_4962,136,20030528,22,100.0,4,3347.74
10140,S10_4962,137,20030724,26,100.0,4,3188.12
10150,S10_4962,138,20030919,20,100.0,1,3191.2
10164,S10_4962,139,20031021,21,100.0,2,3536.82
10175,S10_4962,140,20031106,33,100.0,9,5362.83
10183,S10_4962,141,20031113,28,100.0,1,3433.36
10194,S10_4962,142,20031125,26,100.0,4,4263.74
10207,S10_4962,143,20031209,31,100.0,15,4076.19
10217,S10_4962,144,20040204,48,100.0,4,7020.48
10229,S10_4962,145,20040311,50,100.0,9,6426.5
10245,S10_4962,146,20040504,28,100.0,2,4591.72
10259,S10_4962,147,20040615,26,100.0,12,4033.38
10270,S10_4962,148,20040719,32,100.0,2,4302.08
10281,S10_4962,149,20040819,44,100.0,9,7020.64
10291,S10_4962,150,20040908,30,100.0,4,3855.9
10305,S10_4962,151,20041013,38,100.0,13,6680.78
10313,S10_4962,152,20041022,40,100.0,7,6678.0
10322,S10_4962,153,20041104,46,61.99,8,2851.54
10334,S10_4962,154,20041119,26,100.0,2,3188.12
10347,S10_4962,155,20041129,27,100.0,2,4428.0
10357,S10_4962,156,20041210,43,100.0,9,5780.92
10370,S10_4962,157,20050120,35,65.63,4,2297.05
10381,S10_4962,158,20050217,37,100.0,6,6231.54
10391,S10_4962,159,20050309,37,46.9,7,1735.3
10411,S10_4962,160,20050501,27,100.0,2,4427.73
10425,S10_4962,161,20050531,38,100.0,12,5894.94
10108,S12_1099,162,20030303,33,100.0,6,5265.15
10122,S12_1099,163,20030508,42,100.0,10,7599.9
10135,S12_1099,164,20030702,42,100.0,7,8008.56
10147,S12_1099,165,20030905,48,100.0,7,9245.76
10159,S12_1099,166,20031010,41,100.0,2,8296.35
10169,S12_1099,167,20031104,30,100.0,2,5019.9
10181,S12_1099,168,20031112,27,100.0,14,5411.07
10191,S12_1099,169,20031120,21,100.0,3,3840.9
10203,S12_1099,170,20031202,20,100.0,8,3930.4
10211,S12_1099,171,20040115,41,100.0,2,7498.9
10225,S12_1099,172,20040222,27,100.0,9,4517.91
10238,S12_1099,173,20040409,28,100.0,3,5774.72
10253,S12_1099,174,20040601,24,100.0,13,3922.56
10266,S12_1099,175,20040706,44,100.0,14,9160.36
10276,S12_1099,176,20040802,50,100.0,3,9631.0
10287,S12_1099,177,20040830,21,100.0,12,3432.24
10300,S12_1099,178,20031004,33,100.0,5,5521.89
10310,S12_1099,179,20041016,33,100.0,10,6934.62
10320,S12_1099,180,20041103,31,100.0,3,6876.11
10329,S12_1099,181,20041115,41,71.47,5,2930.27
10341,S12_1099,182,20041124,45,79.65,2,3584.25
10363,S12_1099,183,20050106,33,85.39,3,2817.87
10375,S12_1099,184,20050203,45,76.0,7,3420.0
10389,S12_1099,185,20050303,26,99.04,4,2575.04
10419,S12_1099,186,20050517,12,100.0,13,1961.28
10105,S12_1108,187,20030211,41,100.0,15,8690.36
10117,S12_1108,188,20030416,33,100.0,9,6034.38
10127,S12_1108,189,20030603,46,100.0,2,11279.2
10142,S12_1108,190,20030808,33,100.0,12,8023.29
10153,S12_1108,191,20030928,20,100.0,11,4904.0
10165,S12_1108,192,20031022,44,100.0,3,8594.52
10176,S12_1108,193,20031106,33,100.0,2,7474.5
10185,S12_1108,194,20031114,21,100.0,13,3883.74
10196,S12_1108,195,20031126,47,100.0,5,8887.7
10208,S12_1108,196,20040102,46,100.0,13,8602.92
10220,S12_1108,197,20040212,32,100.0,2,7181.44
10231,S12_1108,198,20040319,42,100.0,2,8378.58
10247,S12_1108,199,20040505,44,100.0,2,10606.2
10272,S12_1108,200,20040720,35,100.0,2,5818.4
10282,S12_1108,201,20040820,41,100.0,5,7071.27
10293,S12_1108,202,20040909,46,100.0,8,8411.56
10306,S12_1108,203,20041014,31,100.0,13,6570.76
10314,S12_1108,204,20041022,38,100.0,5,7975.44
10325,S12_1108,205,20041105,42,64.0,8,2688.0
10336,S12_1108,206,20041120,33,57.22,10,1888.26
10348,S12_1108,207,20041101,48,52.36,8,2513.28
10359,S12_1108,208,20041215,42,100.0,8,4764.48
10371,S12_1108,209,20050123,32,100.0,6,3560.64
10382,S12_1108,210,20050217,34,100.0,10,3823.64
10395,S12_1108,211,20050317,33,69.12,1,2280.96
10413,S12_1108,212,20050505,36,100.0,2,8677.8
10103,S12_1666,213,20030129,27,100.0,8,3394.98
10113,S12_1666,214,20030326,21,100.0,2,3415.44
10126,S12_1666,215,20030528,21,100.0,8,2439.57
10140,S12_1666,216,20030724,38,100.0,8,4829.8
10150,S12_1666,217,20030919,30,100.0,5,4100.1
10164,S12_1666,218,20031021,49,100.0,6,6563.06
10174,S12_1666,219,20031106,43,100.0,1,6817.22
10183,S12_1666,220,20031113,41,100.0,5,6163.94
10194,S12_1666,221,20031125,38,100.0,8,4933.92
10206,S12_1666,222,20031205,28,100.0,3,4056.36
10216,S12_1666,223,20040202,43,100.0,1,5759.42
10229,S12_1666,224,20040311,25,100.0,13,3451.0
10245,S12_1666,225,20040504,38,100.0,6,5920.4
10258,S12_1666,226,20040615,41,100.0,3,6668.24
10270,S12_1666,227,20040719,28,100.0,6,4094.72
10281,S12_1666,228,20040819,25,100.0,13,2938.5
10291,S12_1666,229,20040908,41,100.0,8,6387.8
10304,S12_1666,230,20041011,39,100.0,3,6396.0
10313,S12_1666,231,20041022,21,100.0,11,2669.1
10322,S12_1666,232,20041104,27,100.0,9,4784.13
10333,S12_1666,233,20041118,33,99.21,6,3273.93
10347,S12_1666,234,20041129,29,100.0,3,3586.43
10357,S12_1666,235,20041210,49,100.0,8,5960.36
10370,S12_1666,236,20050120,49,100.0,8,8470.14
10381,S12_1666,237,20050217,20,100.0,1,2952.0
10391,S12_1666,238,20050309,39,63.2,9,2464.8
10411,S12_1666,239,20050501,40,100.0,6,6232.0
10424,S12_1666,240,20050531,49,100.0,3,7969.36
10107,S12_2823,241,20030224,21,100.0,1,3036.6
10121,S12_2823,242,20030507,50,100.0,4,8284.0
10134,S12_2823,243,20030701,20,100.0,1,2711.2
10145,S12_2823,244,20030825,49,100.0,5,8339.8
10159,S12_2823,245,20031010,38,100.0,13,6238.84
10169,S12_2823,246,20031104,35,100.0,13,4639.25
10180,S12_2823,247,20031111,40,100.0,8,6747.6
10189,S12_2823,248,20031118,28,100.0,1,4512.48
10201,S12_2823,249,20031201,25,100.0,1,4029.0
10211,S12_2823,250,20040115,36,100.0,13,4771.8
10224,S12_2823,251,20040221,43,100.0,6,6087.94
10237,S12_2823,252,20040405,32,100.0,6,4193.28
10251,S12_2823,253,20040518,46,100.0,1,7552.28
10263,S12_2823,254,20040628,48,100.0,1,6434.4
10276,S12_2823,255,20040802,43,100.0,14,5181.5
10285,S12_2823,256,20040827,49,100.0,5,6863.92
10299,S12_2823,257,20040930,24,100.0,8,4157.04
10309,S12_2823,258,20041015,26,100.0,4,4660.24
10319,S12_2823,259,20041103,30,100.0,9,4111.8
10329,S12_2823,260,20041115,24,100.0,6,3542.64
10341,S12_2823,261,20041124,55,100.0,8,8118.55
10362,S12_2823,262,20050105,22,100.0,1,3877.06
10375,S12_2823,263,20050203,49,78.92,13,3867.08
10388,S12_2823,264,20050303,44,100.0,6,5951.44
10403,S12_2823,265,20050408,66,100.0,6,8648.64
10417,S12_2823,266,20050513,21,100.0,1,3447.78
10104,S12_3148,267,20030131,34,100.0,1,5958.5
10117,S12_3148,268,20030416,43,100.0,10,5911.64
10127,S12_3148,269,20030603,46,100.0,3,7366.44
10142,S12_3148,270,20030808,33,100.0,13,4985.64
10153,S12_3148,271,20030928,42,100.0,12,5393.64
10165,S12_3148,272,20031022,34,100.0,4,4880.02
10176,S12_3148,273,20031106,47,100.0,3,8378.69
10185,S12_3148,274,20031114,33,100.0,14,4038.21
10196,S12_3148,275,20031126,24,100.0,6,3807.12
10208,S12_3148,276,20040102,26,100.0,14,3142.36
10220,S12_3148,277,20040212,30,100.0,3,4713.6
10230,S12_3148,278,20040315,43,100.0,1,7016.31
10247,S12_3148,279,20040505,25,100.0,3,4381.25
10272,S12_3148,280,20040720,27,100.0,3,4283.01
10282,S12_3148,281,20040820,27,100.0,6,4364.82
10293,S12_3148,282,20040909,24,100.0,9,4242.24
10306,S12_3148,283,20041014,34,100.0,14,4982.7
10314,S12_3148,284,20041022,46,100.0,6,6393.54
10324,S12_3148,285,20041105,27,54.33,1,1466.91
10336,S12_3148,286,20041120,33,100.0,11,4059.33
10348,S12_3148,287,20041101,47,100.0,4,4801.52
10358,S12_3148,288,20041210,49,55.34,5,2711.66
10372,S12_3148,289,20050126,40,100.0,4,5862.0
10382,S12_3148,290,20050217,37,100.0,11,4071.85
10413,S12_3148,291,20050505,47,100.0,3,8236.75
10108,S12_3380,292,20030303,45,100.0,4,6130.35
10122,S12_3380,293,20030508,37,99.82,8,3693.34
10135,S12_3380,294,20030702,48,100.0,5,6031.68
10147,S12_3380,295,20030905,31,100.0,5,3494.94
10160,S12_3380,296,20031011,46,100.0,6,5294.14
10170,S12_3380,297,20031104,47,100.0,4,5464.69
10181,S12_3380,298,20031112,28,100.0,12,2860.76
10191,S12_3380,299,20031120,40,100.0,1,5590.0
10203,S12_3380,300,20031202,20,100.0,6,2254.8
10212,S12_3380,301,20040116,39,100.0,16,4946.76
10225,S12_3380,302,20040222,25,99.82,7,2495.5
10238,S12_3380,303,20040409,29,100.0,1,3167.38
10253,S12_3380,304,20040601,22,100.0,11,2402.84
10266,S12_3380,305,20040706,22,100.0,12,2454.54
10276,S12_3380,306,20040802,47,100.0,1,5464.69
10287,S12_3380,307,20040830,45,100.0,10,4756.5
10300,S12_3380,308,20031004,29,100.0,3,3984.6
10310,S12_3380,309,20041016,24,100.0,8,3100.32
10320,S12_3380,310,20041103,35,100.0,1,4850.3
10329,S12_3380,311,20041115,46,83.63,13,3846.98
10341,S12_3380,312,20041124,44,95.93,1,4220.92
10363,S12_3380,313,20050106,34,96.73,4,3288.82
10376,S12_3380,314,20050208,35,100.0,1,3987.2
10389,S12_3380,315,20050303,25,72.38,6,1809.5
10419,S12_3380,316,20050517,10,100.0,11,1092.2
10105,S12_3891,317,20030211,29,100.0,14,4566.05
10117,S12_3891,318,20030416,39,100.0,8,5938.14
10127,S12_3891,319,20030603,42,100.0,1,8138.76
10142,S12_3891,320,20030808,46,100.0,11,9470.94
10153,S12_3891,321,20030928,49,100.0,10,7036.89
10165,S12_3891,322,20031022,27,100.0,2,5559.03
10176,S12_3891,323,20031106,50,100.0,1,7872.5
10185,S12_3891,324,20031114,43,100.0,12,7886.2
10196,S12_3891,325,20031126,38,100.0,4,7232.16
10208,S12_3891,326,20040102,20,100.0,12,3114.4
10220,S12_3891,327,20040212,27,100.0,1,5045.22
10231,S12_3891,328,20040319,49,100.0,1,6952.12
10247,S12_3891,329,20040505,27,100.0,1,4157.73
10272,S12_3891,330,20040720,39,100.0,1,7962.24
10282,S12_3891,331,20040820,24,100.0,4,3778.8
10293,S12_3891,332,20040909,45,100.0,7,8253.0
10306,S12_3891,333,20041014,20,100.0,12,3633.4
10314,S12_3891,334,20041022,36,100.0,4,6913.8
10325,S12_3891,335,20041105,24,100.0,1,2583.6
10336,S12_3891,336,20041120,49,63.38,1,3105.62
10349,S12_3891,337,20041201,26,100.0,10,4408.56
10359,S12_3891,338,20041215,49,62.09,5,3042.41
10372,S12_3891,339,20050126,34,100.0,1,5941.5
10382,S12_3891,340,20050217,34,95.35,12,3241.9
10396,S12_3891,341,20050323,33,100.0,3,6109.29
10413,S12_3891,342,20050505,22,100.0,1,3387.78
10108,S12_3990,343,20030303,39,89.38,7,3485.82
10122,S12_3990,344,20030508,32,63.84,11,2042.88
10135,S12_3990,345,20030702,24,75.01,8,1800.24
10147,S12_3990,346,20030905,21,63.84,8,1340.64
10159,S12_3990,347,20031010,24,73.42,3,1762.08
10169,S12_3990,348,20031104,36,63.84,3,2298.24
10181,S12_3990,349,20031112,20,81.4,15,1628.0
10191,S12_3990,350,20031120,30,64.64,4,1939.2
10203,S12_3990,351,20031202,44,82.99,9,3651.56
10211,S12_3990,352,20040115,28,92.57,3,2591.96
10225,S12_3990,353,20040222,37,77.41,10,2864.17
10238,S12_3990,354,20040409,20,74.21,4,1484.2
10253,S12_3990,355,20040601,25,90.17,14,2254.25
10266,S12_3990,356,20040706,35,76.61,15,2681.35
10276,S12_3990,357,20040802,38,83.79,4,3184.02
10287,S12_3990,358,20040830,41,69.43,13,2846.63
10300,S12_3990,359,20031004,22,76.61,6,1685.42
10310,S12_3990,360,20041016,49,81.4,11,3988.6
10320,S12_3990,361,20041103,38,73.42,4,2789.96
10329,S12_3990,362,20041115,33,100.0,14,3607.56
10341,S12_3990,363,20041124,36,93.56,10,3368.16
10363,S12_3990,364,20050106,34,81.62,5,2775.08
10377,S12_3990,365,20050209,24,67.83,5,1627.92
10389,S12_3990,366,20050303,36,70.26,7,2529.36
10419,S12_3990,367,20050517,34,90.17,14,3065.78
10104,S12_4473,368,20030131,41,100.0,9,4615.78
10115,S12_4473,369,20030404,46,100.0,5,5723.78
10127,S12_4473,370,20030603,24,100.0,11,2559.6
10141,S12_4473,371,20030801,21,100.0,5,2140.11
10151,S12_4473,372,20030921,24,100.0,3,3327.6
10165,S12_4473,373,20031022,48,100.0,12,6825.6
10175,S12_4473,374,20031106,26,100.0,1,3543.28
10184,S12_4473,375,20031114,37,100.0,6,4516.22
10195,S12_4473,376,20031125,49,100.0,6,6445.46
10207,S12_4473,377,20031209,34,99.54,7,3384.36
10219,S12_4473,378,20040210,48,100.0,2,4891.68
10229,S12_4473,379,20040311,36,100.0,1,4521.96
10246,S12_4473,380,20040505,46,100.0,5,5069.66
10259,S12_4473,381,20040615,46,100.0,4,6541.2
10271,S12_4473,382,20040720,31,97.17,5,3012.27
10281,S12_4473,383,20040819,41,100.0,1,5247.18
10292,S12_4473,384,20040908,21,100.0,8,2214.87
10305,S12_4473,385,20041013,38,100.0,5,4773.18
10314,S12_4473,386,20041022,45,100.0,14,6185.7
10324,S12_4473,387,20041105,26,58.38,7,1517.88
10336,S12_4473,388,20041120,38,100.0,3,6372.6
10349,S12_4473,389,20041201,48,100.0,9,5232.96
10358,S12_4473,390,20041210,42,64.16,9,2694.72
10371,S12_4473,391,20050123,49,35.71,4,1749.79
10382,S12_4473,392,20050217,32,66.58,13,2130.56
10412,S12_4473,393,20050503,54,100.0,5,5951.34
10425,S12_4473,394,20050531,33,100.0,4,4692.6
10108,S12_4675,395,20030303,36,100.0,3,3731.04
10122,S12_4675,396,20030508,20,100.0,7,2142.0
10135,S12_4675,397,20030702,29,97.89,4,2838.81
10147,S12_4675,398,20030905,33,97.89,4,3230.37
10160,S12_4675,399,20031011,50,100.0,5,5182.0
10170,S12_4675,400,20031104,41,100.0,3,4391.1
10181,S12_4675,401,20031112,36,100.0,11,4477.32
10192,S12_4675,402,20031120,27,100.0,16,3544.56
10203,S12_4675,403,20031202,47,100.0,5,5195.85
10212,S12_4675,404,20040116,33,100.0,15,4180.44
10225,S12_4675,405,20040222,21,100.0,6,2684.43
10239,S12_4675,406,20040412,21,93.28,5,1958.88
10253,S12_4675,407,20040601,41,100.0,10,4910.57
10266,S12_4675,408,20040706,40,100.0,11,4468.4
10277,S12_4675,409,20040804,28,100.0,1,3127.88
10287,S12_4675,410,20040830,23,100.0,9,2675.13
10300,S12_4675,411,20031004,23,100.0,2,2807.61
10310,S12_4675,412,20041016,25,100.0,7,2504.75
10321,S12_4675,413,20041104,24,100.0,15,2984.88
10329,S12_4675,414,20041115,39,64.74,15,2524.86
10341,S12_4675,415,20041124,55,75.2,7,4136.0
10363,S12_4675,416,20050106,46,88.45,6,4068.7
10377,S12_4675,417,20050209,50,100.0,1,5182.0
10389,S12_4675,418,20050303,47,100.0,8,5243.79
10405,S12_4675,419,20050414,97,93.28,5,9048.16
10419,S12_4675,420,20050517,32,100.0,10,3832.64
10103,S18_1097,421,20030129,35,100.0,10,3920.0
10113,S18_1097,422,20030326,49,100.0,4,4916.66
10126,S18_1097,423,20030528,38,100.0,10,3857.0
10140,S18_1097,424,20030724,32,100.0,10,4181.44
10150,S18_1097,425,20030919,34,100.0,7,4641.0
10164,S18_1097,426,20031021,36,99.17,8,3570.12
10174,S18_1097,427,20031106,48,93.34,3,4480.32
10183,S18_1097,428,20031113,21,96.84,7,2033.64
10194,S18_1097,429,20031125,21,93.34,10,1960.14
10206,S18_1097,430,20031205,34,100.0,5,3966.78
10215,S18_1097,431,20040129,46,100.0,2,5152.0
10228,S18_1097,432,20040310,32,100.0,1,3360.0
10245,S18_1097,433,20040504,29,100.0,8,3451.0
10258,S18_1097,434,20040615,41,100.0,5,5453.0
10270,S18_1097,435,20040719,43,96.84,8,4164.12
10280,S18_1097,436,20040817,24,100.0,1,2800.08
10291,S18_1097,437,20040908,41,100.0,10,4687.94
10304,S18_1097,438,20041011,46,98.0,5,4508.0
10312,S18_1097,439,20041021,32,100.0,2,4181.44
10322,S18_1097,440,20041104,22,100.0,10,2251.04
10333,S18_1097,441,20041118,29,40.25,7,1167.25
10347,S18_1097,442,20041129,42,49.6,5,2083.2
10357,S18_1097,443,20041210,39,98.0,1,3822.0
10370,S18_1097,444,20050120,27,100.0,1,3911.49
10381,S18_1097,445,20050217,48,98.0,2,4704.0
10391,S18_1097,446,20050309,29,85.1,10,2467.9
10411,S18_1097,447,20050501,27,100.0,8,3213.0
10424,S18_1097,448,20050531,54,100.0,5,7182.0
10109,S18_1129,449,20030310,26,100.0,4,4379.18
10122,S18_1129,450,20030508,34,100.0,2,5004.8
10136,S18_1129,451,20030704,25,100.0,2,3644.75
10148,S18_1129,452,20030911,23,100.0,13,2702.04
10161,S18_1129,453,20031017,28,100.0,12,3764.88
10171,S18_1129,454,20031105,35,100.0,2,4508.0
10181,S18_1129,455,20031112,44,100.0,6,5418.16
10192,S18_1129,456,20031120,22,100.0,11,3300.66
10204,S18_1129,457,20031202,42,100.0,17,6182.4
10212,S18_1129,458,20040116,29,100.0,10,4186.73
10225,S18_1129,459,20040222,32,100.0,1,4529.28
10240,S18_1129,460,20040413,41,100.0,3,5628.89
10253,S18_1129,461,20040601,26,100.0,5,3054.48
10266,S18_1129,462,20040706,21,100.0,6,2526.51
10278,S18_1129,463,20040806,34,100.0,6,4667.86
10287,S18_1129,464,20040830,41,100.0,4,6499.32
10301,S18_1129,465,20031005,37,100.0,8,5917.78
10310,S18_1129,466,20041016,37,100.0,2,6231.91
10321,S18_1129,467,20041104,41,100.0,10,5803.14
10331,S18_1129,468,20041117,46,100.0,6,6434.02
10342,S18_1129,469,20041124,40,100.0,2,6454.4
10356,S18_1129,470,20041209,43,97.6,8,4196.8
10365,S18_1129,471,20050107,30,87.06,1,2611.8
10377,S18_1129,472,20050209,35,100.0,2,5895.05
10390,S18_1129,473,20050304,36,93.77,14,3375.72
10406,S18_1129,474,20050415,61,100.0,3,8374.69
10419,S18_1129,475,20050517,38,100.0,5,4464.24
10102,S18_1342,476,20030110,39,100.0,2,4808.31
10111,S18_1342,477,20030325,33,99.66,6,3288.78
10125,S18_1342,478,20030521,32,100.0,1,3254.72
10139,S18_1342,479,20030716,31,100.0,7,3184.94
10149,S18_1342,480,20030912,50,100.0,4,5907.5
10162,S18_1342,481,20031018,48,91.44,2,4389.12
10173,S18_1342,482,20031105,43,100.0,6,5036.16
10182,S18_1342,483,20031112,25,87.33,3,2183.25
10193,S18_1342,484,20031121,28,100.0,7,3106.88
10205,S18_1342,485,20031203,36,100.0,2,3735.72
10215,S18_1342,486,20040129,27,89.38,10,2413.26
10227,S18_1342,487,20040302,25,100.0,3,2953.75
10244,S18_1342,488,20040429,40,100.0,7,4684.8
10256,S18_1342,489,20040608,34,95.55,2,3248.7
10280,S18_1342,490,20040817,50,100.0,9,5239.5
10289,S18_1342,491,20040903,38,100.0,2,4567.98
10304,S18_1342,492,20041011,37,95.55,13,3535.35
10312,S18_1342,493,20041021,43,89.38,10,3843.34
10322,S18_1342,494,20041104,43,86.3,14,3710.9
10332,S18_1342,495,20041117,46,95.13,15,4375.98
