customerID,CUSTOMERNAME,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME
60,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
61,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine
62,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel
63,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,28034,USA,Murphy,Julie
64,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Kentary,Mory
65,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
66,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa
67,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William
68,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie
69,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine
70,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta
71,Atelier graphique,"54, rue Royale",Nantes,,44000,France,Schmitt,Carine
72,Mini Classics,3758 North Pendale Street,White Plains,NY,24067,USA,Frick,Steve
73,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung
74,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
75,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko
76,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian
77,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony
78,FunGiftIdeas.com,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta
79,Auto Canal Petit,"25, rue Lauriston",Paris,,75016,France,Perrier,Dominique
80,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
81,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
82,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
83,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel
84,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie
85,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
86,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
87,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine
88,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel
89,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,28034,USA,Murphy,Julie
90,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Kentary,Mory
91,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
92,Vitachrome Inc.,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael
93,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William
94,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie
95,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine
96,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta
97,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,21240,Finland,Karttunen,Matti
98,Mini Classics,3758 North Pendale Street,White Plains,NY,24067,USA,Frick,Steve
99,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung
100,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
101,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko
102,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
103,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony
104,FunGiftIdeas.com,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta
105,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,Devon,Elizabeth
106,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
107,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,,1734,Denmark,Petersen,Jytte
108,Salzburg Collectables,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg
109,"Stylish Desk Decors, Co.",35 King George,London,,WX3 6FW,UK,Brown,Ann
110,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,MA,50553,USA,Tam,Wing C
111,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,21240,Finland,Karttunen,Matti
112,Scandinavian Gift Ideas,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria
113,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,,31000,France,Roulet,Annette
114,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,,WA1 1DP,UK,Hardy,Thomas
115,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,,8022,Spain,Saavedra,Eduardo
116,"Men 'R' US Retailers, Ltd.",6047 Douglas Av.,Los Angeles,CA,28034,USA,Chandler,Michael
117,Collectable Mini Designs Co.,361 Furth Circle,San Diego,CA,91217,USA,Thompson,Valarie
118,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
119,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean
120,Petit Auto,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,Dewey,Catherine
121,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,Lincoln,Elizabeth
122,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,MA,51003,USA,Yoshido,Juri
123,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca
124,giftsbymail.co.uk,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,Bennett,Helen
125,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas
126,Classic Legends Inc.,5905 Pompton St.,NYC,NY,10022,USA,Hernandez,Maria
127,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
128,Reims Collectables,59 rue de l'Abbaye,Reims,,51100,France,Henriot,Paul
129,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,,90110,Finland,Koskitalo,Pirkko
130,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
131,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel
132,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue
133,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,MA,51003,USA,Yoshido,Juri
134,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas
135,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,,75012,France,Bertrand,Marie
136,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,28023,Spain,Sommer,Mart¡n
137,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
138,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric
139,Mini Auto Werke,Kirchgasse 6,Graz,,8010,Austria,Mendel,Roland
140,"Stylish Desk Decors, Co.",35 King George,London,,WX3 6FW,UK,Brown,Ann
141,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca
142,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,69004,France,Saveley,Mary
143,Diecast Collectables,6251 Ingle Ln.,Boston,MA,51003,USA,Franco,Valarie
144,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,Victorino,Wendy
145,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
146,Super Scale Inc.,567 North Pendale Street,New Haven,CT,97823,USA,Murphy,Leslie
147,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,Victorino,Wendy
148,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian
149,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung
150,Scandinavian Gift Ideas,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria
151,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta
152,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi
153,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie
154,"Volvo Model Replicas, Co",Berguvsv„gen  8,Lule,,S-958 22,Sweden,Berglund,Christina
155,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
156,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
157,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna
158,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
159,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna
160,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean
161,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine
162,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,,1227 MM,Philippines,Cruz,Arnold
163,Marseille Mini Autos,"12, rue des Bouchers",Marseille,,13008,France,Lebihan,Laurence
164,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
165,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,MA,58339,USA,Nelson,Allen
166,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
167,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna
168,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel
169,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,,50739,Germany,Pfalzheim,Henriette
170,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
171,Auto Canal Petit,"25, rue Lauriston",Paris,,75016,France,Perrier,Dominique
172,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,,1203,Switzerland,Holz,Michael
173,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,,1734,Denmark,Petersen,Jytte
174,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,Devon,Elizabeth
175,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,,42100,Italy,Moroni,Maurizio
176,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,Barajas,Miguel
177,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,,1203,Switzerland,Holz,Michael
178,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,,60528,Germany,Keitel,Roland
179,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,,50739,Germany,Pfalzheim,Henriette
180,"Volvo Model Replicas, Co",Berguvsv„gen  8,Lule,,S-958 22,Sweden,Berglund,Christina
181,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
182,Salzburg Collectables,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg
183,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland,Suominen,Kalle
184,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine
185,Scandinavian Gift Ideas,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria
186,Salzburg Collectables,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg
187,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,,1734,Denmark,Petersen,Jytte
188,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric
189,Muscle Machine Inc,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff
190,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
191,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
192,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric
193,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,,42100,Italy,Moroni,Maurizio
194,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,MA,50553,USA,Tam,Wing C
195,Super Scale Inc.,567 North Pendale Street,New Haven,CT,97823,USA,Murphy,Leslie
196,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,69004,France,Saveley,Mary
197,"Clover Collections, Co.",25 Maiden Lane,Dublin,,2,Ireland,Cassidy,Dean
198,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,,28023,Spain,Fernandez,Jesus
199,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland,Suominen,Kalle
200,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung
201,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
202,Amica Models & Co.,Via Monte Bianco 34,Torino,,10100,Italy,Accorti,Paolo
203,"AV Stores, Co.",Fauntleroy Circus,Manchester,,EC2 5NT,UK,Ashworth,Victoria
204,Heintze Collectables,Smagsloget 45,Aaarhus,,8200,Denmark,Ibsen,Palle
205,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas
206,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,,75012,France,Bertrand,Marie
207,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,28023,Spain,Sommer,Mart¡n
208,Reims Collectables,59 rue de l'Abbaye,Reims,,51100,France,Henriot,Paul
209,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
210,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
211,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel
212,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie
213,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas
214,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
215,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,28023,Spain,Sommer,Mart¡n
216,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
217,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric
218,Mini Auto Werke,Kirchgasse 6,Graz,,8010,Austria,Mendel,Roland
219,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony
220,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca
221,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,69004,France,Saveley,Mary
222,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi
223,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,,78000,France,Tonini,Daniel
224,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
225,Super Scale Inc.,567 North Pendale Street,New Haven,CT,97823,USA,Murphy,Leslie
226,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko
227,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian
228,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung
229,Scandinavian Gift Ideas,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria
230,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,,78000,France,Tonini,Daniel
231,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi
232,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie
233,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,28034,USA,Murphy,Julie
234,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter
235,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
236,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna
237,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
238,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna
239,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean
240,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
241,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
242,Reims Collectables,59 rue de l'Abbaye,Reims,,51100,France,Henriot,Paul
243,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel
244,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie
245,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,28034,USA,Brown,Julie
246,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna
247,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine
248,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie
249,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,28034,USA,Murphy,Julie
250,Auto Canal Petit,"25, rue Lauriston",Paris,,75016,France,Perrier,Dominique
251,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine
252,Vitachrome Inc.,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael
253,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William
254,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie
255,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,Barajas,Miguel
256,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta
257,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,21240,Finland,Karttunen,Matti
258,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas
259,Microscale Inc.,5290 North Pendale Street,NYC,NY,10022,USA,Kuo,Kee
260,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai
261,Salzburg Collectables,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg
262,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri
263,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine
264,FunGiftIdeas.com,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta
265,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,Devon,Elizabeth
266,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
267,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
268,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric
269,Muscle Machine Inc,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff
270,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie
271,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego
